"GEO_ID","id",
"NAME","Geographic Area Name",
"S2701_C01_001E","Total!!Estimate!!Total civilian noninstitutionalized population",
"S2701_C01_001M","Total!!Margin of Error!!Total civilian noninstitutionalized population",
"S2701_C01_002E","Total!!Estimate!!AGE!!Under 18 years",
"S2701_C01_002M","Total!!Margin of Error!!AGE!!Under 18 years",
"S2701_C01_003E","Total!!Estimate!!AGE!!18 to 64 years",
"S2701_C01_003M","Total!!Margin of Error!!AGE!!18 to 64 years",
"S2701_C01_004E","Total!!Estimate!!AGE!!65 years and older",
"S2701_C01_004M","Total!!Margin of Error!!AGE!!65 years and older",
"S2701_C01_005E","Total!!Estimate!!19 to 25 years",
"S2701_C01_005M","Total!!Margin of Error!!19 to 25 years",
"S2701_C01_006E","Total!!Estimate!!SEX!!Male",
"S2701_C01_006M","Total!!Margin of Error!!SEX!!Male",
"S2701_C01_007E","Total!!Estimate!!SEX!!Female",
"S2701_C01_007M","Total!!Margin of Error!!SEX!!Female",
"S2701_C01_008E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race",
"S2701_C01_008M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race",
"S2701_C01_009E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone",
"S2701_C01_009M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!White alone",
"S2701_C01_010E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone",
"S2701_C01_010M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Black or African American alone",
"S2701_C01_011E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone",
"S2701_C01_011M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!American Indian and Alaska Native alone",
"S2701_C01_012E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone",
"S2701_C01_012M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Asian alone",
"S2701_C01_013E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone",
"S2701_C01_013M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Native Hawaiian and Other Pacific Islander alone",
"S2701_C01_014E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone",
"S2701_C01_014M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One Race!!Some other race alone",
"S2701_C01_015E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2701_C01_015M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2701_C01_016E","Total!!Estimate!!White alone, not Hispanic or Latino",
"S2701_C01_016M","Total!!Margin of Error!!White alone, not Hispanic or Latino",
"S2701_C01_017E","Total!!Estimate!!Hispanic or Latino (of any race)",
"S2701_C01_017M","Total!!Margin of Error!!Hispanic or Latino (of any race)",
"S2701_C01_018E","Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native born",
"S2701_C01_018M","Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Native born",
"S2701_C01_019E","Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born",
"S2701_C01_019M","Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born",
"S2701_C01_020E","Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized",
"S2701_C01_020M","Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized",
"S2701_C01_021E","Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a citizen",
"S2701_C01_021M","Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a citizen",
"S2701_C01_022E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older",
"S2701_C01_022M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older",
"S2701_C01_023E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!Less than high school graduate",
"S2701_C01_023M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!Less than high school graduate",
"S2701_C01_024E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!High school graduate, GED, or alternative",
"S2701_C01_024M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!High school graduate, GED, or alternative",
"S2701_C01_025E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!Some college or associate's degree",
"S2701_C01_025M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!Some college or associate's degree",
"S2701_C01_026E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!Bachelor's degree or higher",
"S2701_C01_026M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Civilian noninstitutionalized population 25 years and older!!Bachelor's degree or higher",
"S2701_C01_027E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older",
"S2701_C01_027M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older",
"S2701_C01_028E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!In labor force",
"S2701_C01_028M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!In labor force",
"S2701_C01_029E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!In labor force!!Employed",
"S2701_C01_029M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!In labor force!!Employed",
"S2701_C01_030E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!In labor force!!Unemployed",
"S2701_C01_030M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!In labor force!!Unemployed",
"S2701_C01_031E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!Not in labor force",
"S2701_C01_031M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian noninstitutionalized population 18 years and older!!Not in labor force",
"S2701_C01_032E","Total!!Estimate!!WORK EXPERIENCE!!Civilian noninstitutionalized population 18 years and older",
"S2701_C01_032M","Total!!Margin of Error!!WORK EXPERIENCE!!Civilian noninstitutionalized population 18 years and older",
"S2701_C01_033E","Total!!Estimate!!WORK EXPERIENCE!!Civilian noninstitutionalized population 18 years and older!!Worked full-time, year round in the past 12 months",
"S2701_C01_033M","Total!!Margin of Error!!WORK EXPERIENCE!!Civilian noninstitutionalized population 18 years and older!!Worked full-time, year round in the past 12 months",
"S2701_C01_034E","Total!!Estimate!!WORK EXPERIENCE!!Civilian noninstitutionalized population 18 years and older!!Worked less than full-time, year round in the past 12 months",
